ts_event,open,high,low,close,volume,Backadjusted
2023-08-04 00:00:00+00:00,110.28125,111.328125,109.75,111.296875,1933040,111.40625
2023-08-06 00:00:00+00:00,111.265625,111.265625,111.140625,111.21875,19368,111.328125
2023-08-07 00:00:00+00:00,111.203125,111.25,110.71875,111.0625,1133806,111.171875
2023-08-08 00:00:00+00:00,111.0625,111.6875,111.046875,111.5,1339569,111.609375
2023-08-09 00:00:00+00:00,111.5,111.625,111.265625,111.328125,1062376,111.4375
2023-08-10 00:00:00+00:00,111.328125,111.90625,110.640625,110.765625,1774021,110.875
2023-08-11 00:00:00+00:00,110.75,110.90625,110.125,110.234375,1408924,110.34375
2023-08-13 00:00:00+00:00,110.171875,110.171875,109.953125,110.109375,26480,110.21875
2023-08-14 00:00:00+00:00,110.125,110.3125,109.765625,109.875,1186518,109.984375
2023-08-15 00:00:00+00:00,109.875,110.21875,109.359375,109.84375,1643986,109.953125
2023-08-16 00:00:00+00:00,109.84375,110.171875,109.421875,109.59375,1611509,109.703125
2023-08-17 00:00:00+00:00,109.578125,109.578125,109.109375,109.53125,1543534,109.640625
2023-08-18 00:00:00+00:00,109.53125,109.890625,109.4375,109.609375,1114003,109.71875
2023-08-20 00:00:00+00:00,109.640625,109.6875,109.5625,109.59375,10974,109.703125
2023-08-21 00:00:00+00:00,109.59375,109.640625,108.9375,108.96875,1221229,109.078125
2023-08-22 00:00:00+00:00,108.96875,109.28125,108.875,109.078125,1162178,109.1875
2023-08-23 00:00:00+00:00,109.09375,109.984375,109.078125,109.859375,1707178,109.96875
2023-08-24 00:00:00+00:00,109.859375,109.984375,109.515625,109.59375,1334620,109.703125
2023-08-25 00:00:00+00:00,109.59375,109.71875,109.109375,109.421875,1336490,109.53125
2023-08-27 00:00:00+00:00,109.453125,109.515625,109.3125,109.34375,11419,109.453125
2023-08-28 00:00:00+00:00,109.34375,109.75,109.3125,109.75,737986,109.859375
2023-08-29 00:00:00+00:00,109.75,110.4375,109.4375,110.234375,825916,110.34375
2023-08-30 00:00:00+00:00,110.234375,110.609375,110.0625,110.40625,243477,110.515625
2023-08-31 00:00:00+00:00,110.390625,110.640625,110.328125,110.4375,26453,110.546875
2023-09-01 00:00:00+00:00,110.4375,110.953125,109.9375,110.109375,13235,110.21875
2023-09-03 00:00:00+00:00,110.0625,110.15625,110.0625,110.15625,73,110.265625
2023-09-04 00:00:00+00:00,110.140625,110.140625,109.921875,109.984375,1017,110.09375
2023-09-05 00:00:00+00:00,109.953125,109.984375,109.515625,109.671875,8416,109.78125
2023-09-06 00:00:00+00:00,109.578125,109.75,109.21875,109.3125,3259,109.421875
2023-09-07 00:00:00+00:00,109.359375,109.65625,109.296875,109.609375,3571,109.71875
2023-09-08 00:00:00+00:00,109.765625,109.90625,109.5,109.5,602,109.609375
