ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-08-04 00:00:00+00:00,35,1,338574,110.28125,111.328125,109.75,111.296875,1933040,ZN.c.0
2023-08-06 00:00:00+00:00,35,1,338574,111.265625,111.265625,111.140625,111.21875,19368,ZN.c.0
2023-08-07 00:00:00+00:00,35,1,338574,111.203125,111.25,110.71875,111.0625,1133806,ZN.c.0
2023-08-08 00:00:00+00:00,35,1,338574,111.0625,111.6875,111.046875,111.5,1339569,ZN.c.0
2023-08-09 00:00:00+00:00,35,1,338574,111.5,111.625,111.265625,111.328125,1062376,ZN.c.0
2023-08-10 00:00:00+00:00,35,1,338574,111.328125,111.90625,110.640625,110.765625,1774021,ZN.c.0
2023-08-11 00:00:00+00:00,35,1,338574,110.75,110.90625,110.125,110.234375,1408924,ZN.c.0
2023-08-13 00:00:00+00:00,35,1,338574,110.171875,110.171875,109.953125,110.109375,26480,ZN.c.0
2023-08-14 00:00:00+00:00,35,1,338574,110.125,110.3125,109.765625,109.875,1186518,ZN.c.0
2023-08-15 00:00:00+00:00,35,1,338574,109.875,110.21875,109.359375,109.84375,1643986,ZN.c.0
2023-08-16 00:00:00+00:00,35,1,338574,109.84375,110.171875,109.421875,109.59375,1611509,ZN.c.0
2023-08-17 00:00:00+00:00,35,1,338574,109.578125,109.578125,109.109375,109.53125,1543534,ZN.c.0
2023-08-18 00:00:00+00:00,35,1,338574,109.53125,109.890625,109.4375,109.609375,1114003,ZN.c.0
2023-08-20 00:00:00+00:00,35,1,338574,109.640625,109.6875,109.5625,109.59375,10974,ZN.c.0
2023-08-21 00:00:00+00:00,35,1,338574,109.59375,109.640625,108.9375,108.96875,1221229,ZN.c.0
2023-08-22 00:00:00+00:00,35,1,338574,108.96875,109.28125,108.875,109.078125,1162178,ZN.c.0
2023-08-23 00:00:00+00:00,35,1,338574,109.09375,109.984375,109.078125,109.859375,1707178,ZN.c.0
2023-08-24 00:00:00+00:00,35,1,338574,109.859375,109.984375,109.515625,109.59375,1334620,ZN.c.0
2023-08-25 00:00:00+00:00,35,1,338574,109.59375,109.71875,109.109375,109.421875,1336490,ZN.c.0
2023-08-27 00:00:00+00:00,35,1,338574,109.453125,109.515625,109.3125,109.34375,11419,ZN.c.0
2023-08-28 00:00:00+00:00,35,1,338574,109.34375,109.75,109.3125,109.75,737986,ZN.c.0
2023-08-29 00:00:00+00:00,35,1,338574,109.75,110.4375,109.4375,110.234375,825916,ZN.c.0
2023-08-30 00:00:00+00:00,35,1,338574,110.234375,110.609375,110.0625,110.40625,243477,ZN.c.0
2023-08-31 00:00:00+00:00,35,1,338574,110.390625,110.640625,110.328125,110.4375,26453,ZN.c.0
2023-09-01 00:00:00+00:00,35,1,338574,110.4375,110.953125,109.9375,110.109375,13235,ZN.c.0
2023-09-03 00:00:00+00:00,35,1,338574,110.0625,110.15625,110.0625,110.15625,73,ZN.c.0
2023-09-04 00:00:00+00:00,35,1,338574,110.140625,110.140625,109.921875,109.984375,1017,ZN.c.0
2023-09-05 00:00:00+00:00,35,1,338574,109.953125,109.984375,109.515625,109.671875,8416,ZN.c.0
2023-09-06 00:00:00+00:00,35,1,338574,109.578125,109.75,109.21875,109.3125,3259,ZN.c.0
2023-09-07 00:00:00+00:00,35,1,338574,109.359375,109.65625,109.296875,109.609375,3571,ZN.c.0
2023-09-08 00:00:00+00:00,35,1,338574,109.765625,109.90625,109.5,109.5,602,ZN.c.0
2023-09-10 00:00:00+00:00,35,1,338574,109.53125,109.53125,109.375,109.375,6,ZN.c.0
2023-09-11 00:00:00+00:00,35,1,338574,109.3125,109.46875,109.28125,109.46875,273,ZN.c.0
2023-09-12 00:00:00+00:00,35,1,338574,109.328125,109.515625,109.328125,109.421875,195,ZN.c.0
2023-09-13 00:00:00+00:00,35,1,338574,109.171875,109.75,108.953125,109.625,131,ZN.c.0
2023-09-14 00:00:00+00:00,35,1,338574,109.828125,109.84375,109.34375,109.359375,121,ZN.c.0
2023-09-15 00:00:00+00:00,35,1,338574,109.484375,109.53125,109.171875,109.21875,53,ZN.c.0
2023-09-18 00:00:00+00:00,35,1,338574,108.9375,109.21875,108.9375,109.21875,35,ZN.c.0
2023-09-19 00:00:00+00:00,35,1,338574,109.359375,109.359375,108.84375,108.84375,43,ZN.c.0
2023-09-20 00:00:00+00:00,35,1,338574,109.078125,109.21875,108.9375,109.1875,48,ZN.c.0
2023-09-24 00:00:00+00:00,35,1,12212,108.734375,108.796875,108.703125,108.703125,15214,ZN.c.0
2023-09-25 00:00:00+00:00,35,1,12212,108.71875,108.71875,108.125,108.15625,1201303,ZN.c.0
2023-09-26 00:00:00+00:00,35,1,12212,108.15625,108.53125,108.015625,108.28125,1479159,ZN.c.0
2023-09-27 00:00:00+00:00,35,1,12212,108.265625,108.53125,107.484375,107.71875,1763898,ZN.c.0
2023-09-28 00:00:00+00:00,35,1,12212,107.71875,108.015625,107.21875,107.9375,2239098,ZN.c.0
2023-09-29 00:00:00+00:00,35,1,12212,107.953125,108.453125,107.8125,108.03125,2464617,ZN.c.0
2023-10-01 00:00:00+00:00,35,1,12212,107.875,107.921875,107.6875,107.78125,47101,ZN.c.0
2023-10-02 00:00:00+00:00,35,1,12212,107.765625,107.859375,107.21875,107.34375,1474208,ZN.c.0
